|title|district|latitude|longitude|area|number_of_rooms|year_of_creation|price_for_m2_in_PLN|type_of_building|garage|balcony|internet|parking|elevator|floor|terrace|basement|garden|type_of_market
106|Klimatyczne mieszkanie w sercu Oliwy|Gdańsk Oliwa, Jana Husa|54.40665505|18.56857278113887|71|3|1926|15915|Mieszkanie|0|0|1|0|0|1|1|1|0|secondary
107|Wysoki standard  Gdańsk 15 min   Dom z charakterem|Gdańsk Łostowice|54.31911|18.5918006|380|6|2021|789|Dom wolnostojący|1|1|1|1|0|nan|0|0|1|secondary
108|Wysoki standard. 3 pok - Osiedle Pastelowe|Gdańsk Łostowice, Pastelowa|52.092517|20.635421|55.1|3|2021|1179|Mieszkanie|1|1|1|1|1|2|0|1|0|secondary
109|Apartament 82m2 z wiodkiem na dziedziniec|Sopot Dolny Sopot, Książąt Pomorskich|54.4391221|18.5709036|8|3|1900|201|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
110|Mieszkanie na sprzedaż|Gdańsk Jasień, Flisykowskiego|54.353652|18.550084|66|3|2021|12500|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
111|Projekt architekta* Umeblowane *Balkon*Parking|Sopot Górny Sopot|54.42847735|18.565375631256135|87|4|1910|18276|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
112|Słoneczne*Od ręki* Niskie oplaty*Centrum*Gotowe|Sopot Górny Sopot, Sikorskiego|54.4415586|18.5585855|79|3|1910|1639|Mieszkanie|0|0|0|0|0|2|0|0|0|secondary
113|3 mieszkania-DOM*Taras*1km SKM*7min Centrum|Gdynia Mały Kack, Sandomierska|54.4868285|18.5275494|170|6|1980|7353|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
114|3 mieszkania-DOM*Taras*1km SKM*7min Centrum|Gdynia Mały Kack, Sandomierska|54.4868285|18.5275494|171|6|1980|7310|Dom wolnostojący|0|0|0|0|0|nan|0|0|0|secondary
115|3 pokoje   Wrzeszcz   Dwustronne   Garaż|Gdańsk Młyniska, Mikołaja Reja|51.951573|19.295161|58.|3|1975|14588|Mieszkanie|1|1|1|1|1|6|0|0|0|secondary
116|Piękny apartament w RiverView|Gdańsk Długie Ogrody, Angielska Grobla|54.3505277|18.666469174154322|38.5|1|2021|25506|Mieszkanie|0|0|1|1|1|1|0|0|0|secondary
117|Wyjątkowy Penthouse w Gdyni, w Sea Towers|Gdynia Śródmieście, A. Hryniewickiego|54.5190222|18.5569585|119.4|4|2009|36851|Mieszkanie|1|0|0|1|0|27|0|0|0|secondary
118|Mieszkanie 2-pokojowe Przymorze|Gdańsk Przymorze, Krzywoustego 17|54.4120745|18.5765809|31.74|2|1958|1950|Mieszkanie|0|0|1|1|0|3|0|1|0|secondary
119|Apartament w Sopocie - 120m od plaży|Sopot Dolny Sopot, Poniatowskiego 2|54.4398074|18.574711|87|4|1906|37931|Mieszkanie|0|0|0|0|0|1|0|0|0|secondary
120|3 pokojowe z ogródkiem. Taras. Blisko las.|Gdańsk Matarnia - Rębiechowo, Elewów|54.379458|18.50384|56|3|1994|12750|Mieszkanie|0|0|1|1|0|Parter|0|0|0|secondary
121|Słoneczne   5 pokoi   wysoki standard|Gdańsk Łostowice, Niepołomicka|54.31742615|18.593106398457195|85.09|5|2020|10565|Mieszkanie|0|1|0|1|1|4|0|0|0|secondary
122|Hit lata-apartament  nad morzem 48m2 GdańskBrzeźno|Gdańsk Brzeźno, Karola Chodkiewicza|54.4070137|18.628292350000002|48.35|2|2019|20476|Mieszkanie|0|1|1|0|1|2|0|0|0|secondary
123|Mieszkanie 2 pokojowe 60,53m2 z 2 miejscami parkingowymi-Gdańsk Jasień|Gdańsk Jasień, Lawendowe Wzgórze|52.201692|18.259949|60.53|2|2016|14043|Mieszkanie|0|1|1|1|1|4|0|1|0|secondary
124|Obłuże 3 pok   Niskie opłaty   Balkon   winda|Gdynia Obłuże, Adm. J. Unruga|54.54796|18.51856|47|3|1975|9957|Mieszkanie|0|1|0|1|0|7|0|1|0|secondary
125|Mieszkanie Sopot 200m od Monciaka inwestycja najem|Sopot Górny Sopot, 1 Maja|54.443566849999996|18.557375881581464|63.48|2|1960|15753|Mieszkanie|0|0|1|1|0|Parter|0|0|0|secondary
126|Dom szeregowy, skrajny  Gdynia Dąbrowa ul. Ziołowa|Gdynia Dąbrowa, Ziołowa|54.471543999999994|18.455362071381487|240|6|1988|4375|Dom szeregowy|1|1|1|1|0|nan|1|1|1|secondary
127|Mieszkanie dwupokojowe Gdynia Cisowa|Gdynia  Cisowa , 50|51.6033199|19.4599547|54.29|2|2018|12341|Mieszkanie|0|0|0|0|0|3|0|0|0|secondary
128|Mieszkanie (2015r.) / Miejsce parkingowe + Komórka|Gdańsk Ujeścisko, Cedrowa|54.378291|18.487005|48.6|3|2015|12860|Mieszkanie|0|1|0|1|1|1|0|0|0|secondary
129|Os. srebrniki   gotowy projekt   odbiór 06.2024|Gdańsk Morena, Magellana|54.3653233|18.5827173|83.74|4|2024|1194|Mieszkanie|0|1|1|1|1|2|0|0|0|secondary
130|2 pokojowy apartament z widokiem na morze|Gdańsk Morena, Piecewska|54.357597850000005|18.591512458150067|39.85|2|2019|16738|Mieszkanie|0|1|0|0|1|5|0|0|0|secondary
