title|address|price[PLN]|area[m^2]|rooms|floor|market|build year|parking|building_type
Mieszkanie, ul. Cieszyńskiego|Cieszyńskiego, Chełm, Gdańsk, pomorskie|769 000 zł|57,20 m²|3|parter|wtórny|2007|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 2007 (blok w nowym budownictwie)
Apartament, ul. Jaśkowa Dolina|Jaśkowa Dolina, Gdańsk, pomorskie|1 170 000 zł|78 m²|3|parter|wtórny|-|parking publiczny / na ulicy|apartamentowiec
Mieszkanie, ul. Kurpińskiego|Kurpińskiego, Suchanino, Gdańsk, pomorskie|498 000 zł|42,21 m²|2|parter|wtórny|1975|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 1975
Mieszkanie, Aleja Gen. Józefa Hallera|Aleja Gen. Józefa Hallera, Gdańsk, pomorskie|892 942 zł|56,63 m²|3|2|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|-|parking publiczny / na ulicy|
Apartament, ul. Turystyczna|Turystyczna, Sobieszewo, Gdańsk, pomorskie|693 888 zł|54,21 m²|2|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|przynależne na ulicy|apartamentowiec; rok budowy: 2024
Mieszkanie, ul. Malczewskiego|Malczewskiego, Siedlce, Gdańsk, pomorskie|1 219 000 zł|124 m²|3|4|wtórny|1998|w garażu podziemnym|blok mieszkalny; rok budowy: 1998
Mieszkanie, ul. Współczesna|Współczesna, Wrzeszcz Dolny, Gdańsk, pomorskie|935 000 zł|74,80 m²|4|4|wtórny|1987|przynależne na ulicy|blok mieszkalny; rok budowy: 1987
Mieszkanie Gdańsk|Siedlce, Gdańsk, pomorskie|1 298 494 zł|71,74 m²|4|2|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2025|garaż wolnostojący|blok mieszkalny; rok budowy: 2025
Mieszkanie, ul. Świętokrzyska|Świętokrzyska, Świętokrzyskie, Gdańsk, pomorskie|543 298 zł|42,28 m²|2|parter|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|możliwość wykupienia|blok mieszkalny; rok budowy: 2024
Mieszkanie, ul. Starowiejska|Starowiejska, Nowy Port, Gdańsk, pomorskie|684 684 zł|51,48 m²|2|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|parking publiczny / na ulicy|blok mieszkalny; rok budowy: 2024 (blok w nowym budownictwie)
Apartament|Gdańsk, pomorskie|666 291 zł|23,99 m²|1|1|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2023|w garażu podziemnym|apartamentowiec; rok budowy: 2023
Apartament, ul. Kempingowa|Kempingowa, Wyspa Sobieszewska, Gdańsk, pomorskie|520 000 zł|35,69 m²|2|2|pierwotny (zobacz inne nowe mieszkania w Gdańsku)|2024|garaż|apartamentowiec; rok budowy: 2024 (blok w nowym budownictwie)
Mieszkanie, ul. Letnicka|Letnicka, Letnica, Gdańsk, pomorskie|1 090 000 zł|63,17 m²|3|parter|wtórny|2022|przynależne na ulicy|blok mieszkalny; rok budowy: 2022 (blok w nowym budownictwie)
