title|address|price[PLN]|area[m^2]|rooms|floor|market|addition|parking|elevator|build year|internet|buiiding_type|basement
NAJTAŃSZE oferty na rynku 12min od Gdańsk Główny|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|366050.0|33.0|2|parter|pierwotny|ogródek, taras|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
NOWOŚĆ,GdańskOsowa 3pok.budynek energooszczędnyM49|ul. Kielnieńska, Osowa, Gdańsk, pomorskie|573000.0|46.17|3|3|pierwotny|balkon|garaż/miejsce parkingowe|tak|2025|1.0|blok|1.0
NIE przegap ofert PROMOCYJNYCH_nowa PKM_bus_lidl|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|480500.0|50.8|3|parter|pierwotny|ogródek, taras|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
ODBIERZ 3pok_M.Postojowe za 0 zł +DOD bonus 26+27|Orunia Górna - Gdańsk Południe, Gdańsk, pomorskie|521600.0|54.35|3|1|pierwotny|balkon|garaż/miejsce parkingowe|tak|2024|1.0|blok|0.0
395 270 Netto_5min Wyspa Spichrzów_+BONUS 26-27.04|Śródmieście, Gdańsk, pomorskie|486185.0|30.9|2|parter|pierwotny|ogródek, taras|garaż/miejsce parkingowe|tak|2024|1.0|apartamentowiec|0.0
Stylowy Apartament/studio/Gotowiec Inwestycyjny|ul. Wałowa, Śródmieście, Gdańsk, pomorskie|569000.0|30.0|1|4|wtórny|||nie|2021|1.0|apartamentowiec|0.0
Browar Gdański apartament dwupokojowy|ul. Joachima Lelewela, Wrzeszcz Dolny, Gdańsk, pomorskie|1100000.0|43.92|2|3|wtórny|balkon|garaż/miejsce parkingowe|nie|2018|0.0|apartamentowiec|1.0
lokal INWESTYCYJNIE >25m2 cenaBrutto ODLICZ VAT23%|Śródmieście, Gdańsk, pomorskie|480186.0|30.9|2|2|pierwotny|balkon|garaż/miejsce parkingowe|tak||0.0|apartamentowiec|0.0
3 pokojowe Mieszkanie Gdynia ul.Nowodworcowa|ul. Nowodworcowa, Wielki Kack, Gdynia, pomorskie|638435.0|53.65|3|parter|pierwotny|ogródek, taras|garaż/miejsce parkingowe|tak|2024|0.0|blok|0.0
2pok. Mieszkanie Gdynia WielkiKack ul.Nowodworcowa|ul. Nowodworcowa, Wielki Kack, Gdynia, pomorskie|593400.0|46.0|2|parter|pierwotny|taras|garaż/miejsce parkingowe|tak|2024|0.0|blok|1.0
Quercus - B2.127|ul. Wielkopolska, Ujeścisko-Łostowice, Gdańsk, pomorskie|460925.0|39.0|2|5|pierwotny|||tak|2025|0.0||0.0
Quercus - B2.74|ul. Wielkopolska, Ujeścisko-Łostowice, Gdańsk, pomorskie|473285.0|44.0|2|1|pierwotny|||tak|2025|0.0||0.0
Piękne 3 pokoje Gdynia Mały Kack - Astoria II.|ul. Strzelców, Mały Kack, Gdynia, pomorskie|1615000.0|75.0|3|1|wtórny|balkon|garaż/miejsce parkingowe|nie||0.0||0.0
4-pokojowe mieszkanie 93m2 + balkon Bezpośrednio|ul. Janki Bryla, Wiczlino, Gdynia, pomorskie|936577.0|93.28|4|1||balkon|garaż/miejsce parkingowe|||||
3 pokoje na Morenie/blisko centrum/blisko lasu|ul. Myśliwskie Wzgórze/os. Klimaty, Piecki-Migowo, Gdańsk, pomorskie|759000.0|58.67|3|1|wtórny|balkon|garaż/miejsce parkingowe|tak|2010|0.0|blok|1.0
2-pokojowe mieszkanie 83m2 + taras Bez Prowizji|ul. Jałmużnicza, Śródmieście, Gdańsk, pomorskie|1928819.0|83.61|2|3||taras|garaż/miejsce parkingowe|||||
